Dataset,LGBM,XGB,MSBoost
Wine Quality,0.5426 ± 0.0804,0.5860 ± 0.0836,0.5429 ± 0.0796
Abalone,5.7731 ± 1.2240,5.8256 ± 0.9886,5.1916 ± 0.7720
Student Performance,6.5426 ± 0.9590,7.3635 ± 1.2074,6.5280 ± 0.9328
Bike Sharing Dataset,9685.0094 ± 505.9653,10748.6132 ± 1280.5592,9420.7735 ± 1173.6477
Liver Disorders,10.0795 ± 1.2242,11.8547 ± 1.1893,9.6238 ± 1.1932
Estimation of obesity levels based on eating habits and physical condition ,0.5391 ± 0.1114,0.4921 ± 0.0545,0.6424 ± 0.1187
Forest Fires,NaN,NaN,NaN
Heart failure clinical records,0.1261 ± 0.0450,0.1438 ± 0.0454,0.1219 ± 0.0331
Real estate valuation,62.8486 ± 31.2658,68.8009 ± 30.1827,62.8087 ± 27.0884
Energy efficiency,0.8172 ± 0.1471,0.3997 ± 0.0840,0.7873 ± 0.1847
Seoul Bike Sharing Demand,0.0000 ± 0.0000,0.0010 ± 0.0020,0.0000 ± 0.0000
Concrete Compressive Strength,19.8094 ± 1.1606,21.0089 ± 2.3998,22.9834 ± 1.6636
Parkinsons Telemonitoring,18.2569 ± 3.4753,13.1871 ± 1.8204,13.9305 ± 2.6529
AIDS Clinical Trials Group Study 175,0.0868 ± 0.0087,0.0921 ± 0.0064,0.0814 ± 0.0065
Electrical Grid Stability Simulated Data ,0.0477 ± 0.0041,0.0544 ± 0.0043,0.0512 ± 0.0032
Infrared Thermography Temperature,0.0656 ± 0.0096,0.0657 ± 0.0074,0.3488 ± 0.5673
